outcome,recency<0.33q,recency>0.66q,0.33q<=recency<=0.66q,lifetime<0.33q,lifetime>0.66q,0.33q<=lifetime<=0.66q,bigstoreshare<0.33q,bigstoreshare>0.66q,0.33q<=bigstoreshare<=0.66q,sum0<0.33q,sum0>0.66q,0.33q<=sum0<=0.66q,treatment,treat1,treat2,numbasket0,sum0,avgcart<0.33q,avgcart>0.66q,0.33q<=avgcart<=0.66q
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,190,178155.53,0,1,0
True,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,140,80457.07,0,0,1
True,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,52,20965.06,0,0,1
False,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,50,15567.81,1,0,0
False,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,6,826.62,1,0,0
True,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,51,24423.06,0,0,1
True,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,4377.92,0,1,0
True,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,35,59077.77,0,1,0
True,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,200,64549.74,1,0,0
True,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,93,23333.06,1,0,0
False,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,30,8732.57,1,0,0
True,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,140,80381.49,0,0,1
True,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,43,12914.77,1,0,0
True,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,50,23361.56,0,0,1
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,96,23514.58,1,0,0
True,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,82,109660.49,0,1,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,227.8,1,0,0
True,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,41,16460.3,0,0,1
False,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,2402.32,0,1,0
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2,207.5,1,0,0
False,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,118,61850.38,0,0,1
True,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,305,152544.54,0,0,1
True,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,46,13503.39,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,198.9,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,4,1117.91,1,0,0
True,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,47,16759.04,0,0,1
True,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,104,64762.3,0,1,0
False,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,49,88620.81,0,1,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2391.6,0,1,0
True,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,134,114076.11,0,1,0
True,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,91,55118.67,0,1,0
